Lipid Name,Lipid Unique Identifier,Precursor m/z,Precursor Retention Time (sec),Identification Charge,LMP,HMP,cf,neutromers_to_extract,literature_n,Adduct,Adduct_cf
SM d18:1_18:0_al,SM d18:1_18:0_al_34.449,753.588515766419,2066.921899999998,1,,,C41H83N2O6P,3.0,,M+Na,C41H83N2O6PNa
SM d18:1_18:0_al,SM d18:1_18:0_al_34.449,713.596007786419,2066.921899999998,1,,,C41H83N2O6P,3.0,,M+H-[H20],C41H82N2O5P
SM d18:1_18:0_al,SM d18:1_18:0_al_34.449,735.5779524664191,2066.921899999998,1,,,C41H83N2O6P,3.0,,M+Na-[H2O],C41H81N2O5PNa
SM d18:1_18:0_al,SM d18:1_18:0_al_34.449,748.633118086419,2066.921899999998,1,,,C41H83N2O6P,3.0,,M+NH4,C41H87N3O6P
SM d18:1_18:0_al,SM d18:1_18:0_al_34.449,729.6147301864191,2066.921899999998,1,,,C41H83N2O6P,3.0,,M+NH4-[H2O],C41H85N3O5P
PC 24:0_18:1_al,PC 24:0_18:1_al_38.474,872.709615091127,2308.413800000004,1,,,C50H98NO8P,3.0,,M+H,C50H99NO8P
PC 24:0_18:1_al,PC 24:0_18:1_al_38.474,894.691559771127,2308.413800000004,1,,,C50H98NO8P,3.0,,M+Na,C50H98NO8PNa
PC 24:0_18:1_al,PC 24:0_18:1_al_38.474,854.699051791127,2308.413800000004,1,,,C50H98NO8P,3.0,,M+H-[H20],C50H97NO7P
PC 24:0_18:1_al,PC 24:0_18:1_al_38.474,876.6809964711271,2308.413800000004,1,,,C50H98NO8P,3.0,,M+Na-[H2O],C50H96NO7PNa
PC 24:0_18:1_al,PC 24:0_18:1_al_38.474,889.736162091127,2308.413800000004,1,,,C50H98NO8P,3.0,,M+NH4,C50H102N2O8P
PC 24:0_18:1_al,PC 24:0_18:1_al_38.474,870.7177741911271,2308.413800000004,1,,,C50H98NO8P,3.0,,M+NH4-[H2O],C50H100N2O7P
CE 18:2_al,CE 18:2_al_40.997,649.5913848571911,2459.835799999998,1,,,C45H76O2,3.0,,M+H,C45H77O2
CE 18:2_al,CE 18:2_al_40.997,671.5733295371911,2459.835799999998,1,,,C45H76O2,3.0,,M+Na,C45H76O2Na
CE 18:2_al,CE 18:2_al_40.997,631.580821557191,2459.835799999998,1,,,C45H76O2,3.0,,M+H-[H20],C45H75O
CE 18:2_al,CE 18:2_al_40.997,653.5627662371911,2459.835799999998,1,,,C45H76O2,3.0,,M+Na-[H2O],C45H74ONa
CE 18:2_al,CE 18:2_al_40.997,666.617931857191,2459.835799999998,1,,,C45H76O2,3.0,,M+NH4,C45H80O2N
CE 18:2_al,CE 18:2_al_40.997,647.5995439571911,2459.835799999998,1,,,C45H76O2,3.0,,M+NH4-[H2O],C45H78ON
PC 16:0_18:1_al,PC 16:0_18:1_al_34.455,760.5847539413651,2067.2845999999977,1,,,C42H82NO8P,3.0,,M+H,C42H83NO8P
PC 16:0_18:1_al,PC 16:0_18:1_al_34.455,782.566698621365,2067.2845999999977,1,,,C42H82NO8P,3.0,,M+Na,C42H82NO8PNa
PC 16:0_18:1_al,PC 16:0_18:1_al_34.455,742.574190641365,2067.2845999999977,1,,,C42H82NO8P,3.0,,M+H-[H20],C42H81NO7P
PC 16:0_18:1_al,PC 16:0_18:1_al_34.455,764.5561353213651,2067.2845999999977,1,,,C42H82NO8P,3.0,,M+Na-[H2O],C42H80NO7PNa
PC 16:0_18:1_al,PC 16:0_18:1_al_34.455,777.611300941365,2067.2845999999977,1,,,C42H82NO8P,3.0,,M+NH4,C42H86N2O8P
PC 16:0_18:1_al,PC 16:0_18:1_al_34.455,758.5929130413651,2067.2845999999977,1,,,C42H82NO8P,3.0,,M+NH4-[H2O],C42H84N2O7P
PC 16:0_18:1_al,PC 16:0_18:1_al_36.971,760.5847539413651,2218.2552,1,,,C42H82NO8P,3.0,,M+H,C42H83NO8P
PC 16:0_18:1_al,PC 16:0_18:1_al_36.971,782.566698621365,2218.2552,1,,,C42H82NO8P,3.0,,M+Na,C42H82NO8PNa
PC 16:0_18:1_al,PC 16:0_18:1_al_36.971,742.574190641365,2218.2552,1,,,C42H82NO8P,3.0,,M+H-[H20],C42H81NO7P
PC 16:0_18:1_al,PC 16:0_18:1_al_36.971,764.5561353213651,2218.2552,1,,,C42H82NO8P,3.0,,M+Na-[H2O],C42H80NO7PNa
PC 16:0_18:1_al,PC 16:0_18:1_al_36.971,777.611300941365,2218.2552,1,,,C42H82NO8P,3.0,,M+NH4,C42H86N2O8P
PC 16:0_18:1_al,PC 16:0_18:1_al_36.971,758.5929130413651,2218.2552,1,,,C42H82NO8P,3.0,,M+NH4-[H2O],C42H84N2O7P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.952,784.5844433324161,2037.1407000000002,1,,,C44H82NO8P,3.0,,M+H,C44H83NO8P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.952,806.566388012416,2037.1407000000002,1,,,C44H82NO8P,3.0,,M+Na,C44H82NO8PNa
PC 16:0_20:3_al,PC 16:0_20:3_al_33.952,766.573880032416,2037.1407000000002,1,,,C44H82NO8P,3.0,,M+H-[H20],C44H81NO7P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.952,788.5558247124161,2037.1407000000002,1,,,C44H82NO8P,3.0,,M+Na-[H2O],C44H80NO7PNa
PC 16:0_20:3_al,PC 16:0_20:3_al_33.952,801.610990332416,2037.1407000000002,1,,,C44H82NO8P,3.0,,M+NH4,C44H86N2O8P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.952,782.5926024324161,2037.1407000000002,1,,,C44H82NO8P,3.0,,M+NH4-[H2O],C44H84N2O7P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.357,784.5844433324161,2001.429199999998,1,,,C44H82NO8P,3.0,,M+H,C44H83NO8P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.357,806.566388012416,2001.429199999998,1,,,C44H82NO8P,3.0,,M+Na,C44H82NO8PNa
PC 16:0_20:3_al,PC 16:0_20:3_al_33.357,766.573880032416,2001.429199999998,1,,,C44H82NO8P,3.0,,M+H-[H20],C44H81NO7P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.357,788.5558247124161,2001.429199999998,1,,,C44H82NO8P,3.0,,M+Na-[H2O],C44H80NO7PNa
PC 16:0_20:3_al,PC 16:0_20:3_al_33.357,801.610990332416,2001.429199999998,1,,,C44H82NO8P,3.0,,M+NH4,C44H86N2O8P
PC 16:0_20:3_al,PC 16:0_20:3_al_33.357,782.5926024324161,2001.429199999998,1,,,C44H82NO8P,3.0,,M+NH4-[H2O],C44H84N2O7P
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.457,522.355157940104,1107.4176,1,,,C26H52NO7P,3.0,,M+H,C26H53NO7P
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.457,544.337102620104,1107.4176,1,,,C26H52NO7P,3.0,,M+Na,C26H52NO7PNa
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.457,504.34459464010394,1107.4176,1,,,C26H52NO7P,3.0,,M+H-[H20],C26H51NO6P
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.457,526.3265393201041,1107.4176,1,,,C26H52NO7P,3.0,,M+Na-[H2O],C26H50NO6PNa
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.457,539.381704940104,1107.4176,1,,,C26H52NO7P,3.0,,M+NH4,C26H56N2O7P
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.457,520.3633170401041,1107.4176,1,,,C26H52NO7P,3.0,,M+NH4-[H2O],C26H54N2O6P
LPC 18:1/0:0_al,LPC 18:1/0:0_al_18.008,522.355157940104,1080.4788,1,,,C26H52NO7P,3.0,,M+H,C26H53NO7P
